date,pm10,pm2_5,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide,ozone,aerosol_optical_depth,dust,uv_index,us_aqi,european_aqi
9/16/2022,53.0625,36.51666667,595.4166667,35.4875,24.76666667,43.58333333,0.450416667,0,0.7875,104.75,69.83333333
9/17/2022,54.19166667,37.53333333,482.0833333,25.57916667,21.65416667,60.70833333,0.50375,0,0.839583333,102.7083333,69.29166667
9/18/2022,77.4,53.72916667,637.4166667,31.03333333,25.41666667,88.58333333,0.677083333,0,1.677083333,133.4166667,79.125
9/19/2022,64.64583333,45.03333333,707.0416667,46.74583333,20.89166667,69.70833333,0.421666667,0,1.9625,133.5,78.79166667
9/20/2022,57.4375,39.95833333,720.5416667,48.5625,21.59583333,61.45833333,0.586666667,0,1.695833333,114,72.79166667
9/21/2022,53.62083333,37.4125,599.125,33.9125,11.95,72.75,0.898333333,0,0.547916667,118.9583333,74.45833333
9/22/2022,46.0875,31.825,494.4166667,24.89166667,16.14583333,76.375,0.4375,0,1.527083333,87.58333333,63.66666667
9/23/2022,56.24583333,37.8625,495.4166667,23.1625,14.175,74.95833333,0.669166667,0.25,1.347916667,106.75,70.41666667
9/24/2022,68.12916667,47.24583333,554.7916667,23.59583333,15.075,91.29166667,1.132083333,0,0.90625,110.1666667,71.58333333
9/25/2022,75.67083333,52.2375,692.6666667,33.84166667,15.675,94.66666667,0.86,0,1.28125,141.2916667,80.91666667
9/26/2022,91.625,63.9375,1030.708333,44.69583333,19.84166667,82.29166667,0.71125,0,1.554166667,146.125,83.45833333
9/27/2022,93.43333333,65.11666667,1125.458333,55.49583333,20.47083333,66.04166667,0.7125,0,1.652083333,158.75,97.70833333
9/28/2022,62.24583333,43.1875,682,31.02083333,12.94583333,62.29166667,0.656666667,0,0.566666667,143.75,83.25
9/29/2022,33.26666667,22.95,390.4583333,25.6875,8.579166667,41.08333333,0.270833333,0,0.497916667,89.45833333,63.125
9/30/2022,29.22083333,20.2375,434.5,27.50833333,9.95,43.41666667,0.262083333,0,1.152083333,67.75,42.375
10/1/2022,31.95,21.96666667,424.1666667,34.2,11.31666667,22.04166667,0.235,0,0.51875,71,47.5
10/2/2022,36.275,24.925,585.875,32.85416667,13.53333333,26.20833333,0.25625,0,0.975,70.20833333,45.83333333
10/3/2022,41.175,28.3,632.5833333,37.89583333,15.4125,28.875,0.345833333,0,0.935416667,83.45833333,62.16666667
10/4/2022,51.52083333,35.3375,608.5833333,40.53333333,14.29583333,35.375,0.385416667,0,1.091666667,94.66666667,66.41666667
10/5/2022,68.80416667,46.78333333,675.9583333,39.56666667,20.47916667,55.33333333,0.335,0,1.939583333,115.5416667,73.33333333
10/6/2022,76.19166667,51.35833333,677.0833333,44.425,23.41666667,41.375,0.459166667,0,0.779166667,141.5416667,81.75
10/7/2022,67.91666667,46.12916667,596.0833333,42.50416667,24.34583333,44.875,0.55,0,0.93125,129,77.625
10/8/2022,61.87083333,42.6125,533.8333333,29.65,23.525,66.20833333,0.64625,0,0.81875,116,73.54166667
10/9/2022,36.45,25.07083333,383.0416667,14.225,12.09166667,68.875,0.421666667,0,0.691666667,106.5416667,70.375
10/10/2022,28.2625,19.30416667,314,14.74583333,10.14166667,63.33333333,0.2175,2.458333333,1.254166667,60.375,36.54166667
10/11/2022,49.93333333,34.87916667,734.4166667,35.16666667,15.24583333,45.54166667,0.196666667,0.416666667,1.985416667,85.20833333,60.95833333
10/12/2022,71,49.7125,1177.75,53.2625,24.2375,40.33333333,0.274166667,0,2.08125,113.5833333,72.66666667
10/13/2022,87.55,61.25833333,1303.708333,63.50416667,29.60833333,45.16666667,0.342916667,0,1.922916667,151.875,89.33333333
10/14/2022,51.70416667,36.1875,640.25,28.475,17.95,62.29166667,0.219166667,0,1.979166667,122.5833333,75.83333333
10/15/2022,48.95833333,34.10833333,443.8333333,14.65416667,18.87916667,77.875,0.23125,0,1.808333333,95.95833333,66.91666667
10/16/2022,56.82916667,39.725,479.5,20.79166667,17.55416667,67.75,0.33625,0,1.68125,104.4166667,69.79166667
10/17/2022,44.49583333,31.025,535.25,26.14583333,14.00416667,53.625,0.317916667,0.75,1.733333333,100.1666667,68.375
